-590,-604.5,349,-463.5,0,0
-570,-604.5,346,-463.5,0,0
-550,-604.5,343,-463.5,0,0
-530,-604.5,338,-463.5,0,0
-509,-604.5,333,-463.5,0,0
-489,-604.5,327,-463.5,0,0
-469,-604.5,320,-463.5,0,0
-449,-604.5,312,-463.5,0,0
-429,-604.5,303,-463.5,0,0
-409,-604.5,293,-463.5,0,0
-389,-604.5,282,-463.5,0,1
-368,-604.5,271,-463.5,0,1
-342,-604.5,258,-463.5,0,1
-315,-604.5,245,-463.5,0,1
-288,-604.5,231,-463.5,0,1
-261,-604.5,216,-463.5,0,1
-234,-604.5,200,-463.5,0,1
-208,-604.5,183,-463.5,1,1
-181,-604.5,157,-463.5,1,1
-154,-604.5,131,-463.5,1,1
-127,-604.5,105,-463.5,1,1
-100,-604.5,79,-463.5,1,1
-73,-604.5,53,-463.5,1,1
-47,-604.5,27,-463.5,1,1
-20,-604.5,1,-463.5,1,1
7,-604.5,-24,-463.5,1,1
34,-604.5,-50,-463.5,1,1
61,-604.5,-73,-463.5,1,0
87,-604.5,-72,-463.5,1,0
108,-604.5,-70,-463.5,1,0
128,-604.5,-68,-463.5,1,0
148,-604.5,-64,-463.5,1,0
163,-604.5,-34,-463.5,0,0
-650,-486,352,-597,0,0
-650,-486,351,-597,0,0
-634,-486,352,-597,0,0
-618,-486,351,-597,0,0
-602,-486,349,-597,0,0
-586,-486,346,-597,0,0
-569,-486,343,-597,0,0
-553,-486,338,-597,0,0
-537,-486,333,-597,0,0
-521,-486,327,-597,0,0
-505,-486,320,-597,0,1
-488,-486,312,-597,0,1
-466,-486,303,-597,0,1
-443,-486,293,-597,0,1
-420,-486,282,-597,0,1
-397,-486,271,-597,0,1
-374,-486,258,-597,0,1
-351,-486,245,-597,0,1
-328,-486,231,-597,0,1
-306,-486,216,-597,1,1
-283,-486,191,-597,1,1
-260,-486,167,-597,1,1
-237,-486,143,-597,1,1
-214,-486,119,-597,1,1
-191,-486,95,-597,1,1
-168,-486,71,-597,1,1
-145,-486,47,-597,1,1
-123,-486,23,-597,1,1
-100,-486,-1,-597,1,1
-77,-486,-26,-597,1,1
-54,-486,-50,-597,1,1
-31,-486,-70,-597,1,1
-8,-486,-68,-597,1,1
15,-486,-64,-597,1,1
37,-486,-60,-597,1,1
60,-486,-55,-597,1,1
83,-486,-48,-597,1,0
106,-486,-41,-597,1,0
122,-486,-34,-597,0,0
138,-486,-31,-597,0,0
155,-486,-31,-597,0,0
171,-486,-31,-597,0,0
187,-486,-31,-597,0,0
203,-486,-31,-597,0,0
219,-486,-31,-597,0,0
223,-486,-31,-597,0,0
-650,-961.5,352,-517.5,0,0
-650,-961.5,351,-517.5,0,0
-618,-961.5,352,-517.5,0,0
-586,-961.5,351,-517.5,0,0
-554,-961.5,349,-517.5,0,0
-522,-961.5,346,-517.5,0,0
-490,-961.5,343,-517.5,0,0
-458,-961.5,338,-517.5,0,0
-426,-961.5,333,-517.5,0,0
-394,-961.5,327,-517.5,0,1
-362,-961.5,320,-517.5,0,1
-323,-961.5,312,-517.5,0,1
-285,-961.5,303,-517.5,0,1
-246,-961.5,293,-517.5,0,1
-207,-961.5,282,-517.5,0,1
-168,-961.5,271,-
